email,PLZ,Kino,Ort,status,Latitude,Longitude
moviestarkino@hotmail.com,18273.0,Movie Star,Güstrow / Sangerhausen & Wittenberge,active,53.79759,12.1698257
moviestarkino@hotmail.com,18273.0,Movie Star,Güstrow / Sangerhausen & Wittenberge,active,52.2323983,10.1376019
sommerkinowustrow@gmx.de,18347.0,Sommerkino Wustrow,Ostseebad Wustrow,active,54.3517074,12.3854697
hans-georg-will@web.de,18374.0,Lichtspiele Zingst,Zingst,bounced,54.3517074,12.3854697
info@kino-prerow.de,18375.0,Cinema Prerow,Prerow,active,54.4257411,12.584853
stralsund@cinestar.de,18439.0,CineStar - Der Filmpalast,Stralsund,active,54.3109374,13.0875713
info@uc-kino-ruegen.de,18528.0,UC - You See Kino im Rügencenter Bergen,Bergen auf Rügen,active,54.422471,13.4161357
orga@kino-lichtspiele-sassnitz.de,18546.0,Lichtspiele,Sassnitz,active,54.5148717,13.6407823
medias@online.de,18586.0,Komödie Rügen,Göhren,bounced,54.3426532,13.737829
p.michael.bels@web.de,18586.0,Kinohalle (Campingplatz) Waldkino,Göhren,active,54.3426532,13.737829
kino@megamovies.de,19053.0,Multiplex MegaMovies,Schwerin,active,53.6216338,11.3987887
schwerin@filmpalast-kino.de,19053.0,Filmpalast Capitol Schwerin,Schwerin,active,53.629852,11.4074751
info@kino-boizenburg.de,19258.0,Kino-Boizenburg,Boizenburg,active,53.3741965,10.7195837
buero@lunafilmtheater.de,19288.0,Luna Filmtheater,Ludwigslust,active,53.326409,11.4913667
info@moviestar-net.de,19370.0,Movie Star,Parchim,active,53.326409,11.4913667
info@das-passage.de,20095.0,Passage Kino Hamburg,Hamburg,active,53.5505417,9.9960627
info@kulturladen.com,20099.0,Kulturladen St.Georg,Hamburg,active,53.5505417,9.9960627
info@savoy-filmtheater.de,20099.0,Savoy,Hamburg,active,53.5550206,10.0165133
office@abaton.de,20146.0,Abaton-Kino,Hamburg,active,53.5675735,9.9793552
info@filmraum.net,20257.0,FilmRaum,Hamburg,active,53.5798371,9.9399802
info@outdoor-cine.de,20257.0,Outdoor-Cine,Hamburg,active,53.5981929,9.8308508
info@kinemathek-hamburg.de,20354.0,Freiluftkino,Hamburg,bounced,53.5981929,9.8308508
info@3001-kino.de,20357.0,3001 Kino,Hamburg,active,53.5621042,9.9631152
ralf@3001-kino.de,20357.0,Filmnächte am Millerntor,Hamburg,active,53.5534428,9.9656088
b-movie@b-movie.de,20359.0,B-Movie,Hamburg,active,53.5534428,9.9656088
info@hamburg.astor-filmlounge.de,20457.0,Astor Film Lounge Hafen City,Hamburg,active,53.5433902,9.9931157
dieterlangeug@aol.com,21031.0,Hansa-Filmstudio Bergedorf,Hamburg,active,53.4934616,10.2048119
info@lola-hh.de,21031.0,Lola Kulturzentrum,Hamburg,active,53.4934616,10.2048119
hofabuero@honigfabrik.de,21107.0,Honigfabrik,Hamburg,active,53.5156966,9.9799958
info@insel-lichtspiele.de,21107.0,Open-Air Kino auf der Elbinsel Wilhelmsb,Hamburg,bounced,53.5156966,9.9799958
info@movieplexx.de,21244.0,Movieplexx,Buchholz in der Nordheide,active,53.5172451,9.9812823
info@scala-kino.net,21335.0,SCALA Programmkino,Lüneburg,active,53.2490196,10.4045214
lueneburg@filmpalast-kino.de,21337.0,Filmpalast Lüneburg,Lüneburg,active,53.2490196,10.4045214
winsen@cinemotion-kino.de,21423.0,CineMotion - Winsen,Winsen an der Luhe,active,53.3642563,10.2054179
frank.grimm@gmx.de,21493.0,Kino Grimm,Schwarzenbek,active,53.5023904,10.4751235
info@kleinestheaterschillerstrasse.de,21502.0,Kleines Theater Schillerstraße Kino  2...,Geesthacht,active,53.5023904,10.4751235
info@citykino-buxtehude.de,21614.0,City Kino Buxtehude,Buxtehude,active,53.473686,9.6927187
info@service-kino.de,21629.0,DAS Kino,Neu Wulmstorf,active,53.4644485,9.7971323
stade@cinestar.de,21680.0,CineStar - Der Filmpalast,Stade,active,53.602005,9.477959
info@hotel-meyer.de,21698.0,Harsefelder Lichtspiele,Harsefeld,active,53.4535315,9.5006605
info@kino-hotel.de,21698.0,Open Air Kino im Klosterpark,Harsefeld,active,53.453464,9.500828
wandsbek@uci-kinowelt.de,22047.0,UCI Wandsbek,Hamburg,active,53.5882667,10.0941266
mundsburg@uci-kinowelt.de,22083.0,UCI Mundsburg,Hamburg,active,53.57091,10.0247131
info@magazinfilmkunst.de,22299.0,Magazin Filmkunsttheater,Hamburg,deleted (unsubscribed),53.5997711,10.0014176
kino@alabama-kino.de,22303.0,Alabama-Kino,Hamburg,active,53.5833202,10.0182501
info@outdoorcine.de,22305.0,Kinonächte Barmbek,Hamburg,active,53.5833202,10.0182501
info@korallekino.de,22359.0,Koralle-Kino,Hamburg,active,53.6516111,10.160709
info@elbe-kino.de,22549.0,Elbe-Filmtheater,Hamburg,active,53.5727731,9.8482567
info@blankeneserkino.de,22587.0,Blankeneser Kino,Hamburg,active,53.5590957,9.8085807
othmarschenpark@uci-kinowelt.de,22605.0,UCI Othmarschen Park,Hamburg,active,53.5574527,9.8976429
info@zeise.de,22765.0,zeise kinos,Hamburg,active,53.5543938,9.9249268
info@studio-kino.de,22767.0,Studio-Kino,Hamburg,active,53.5572767,9.9557972
warnix.machtnix@hamburg.de,22767.0,Lichtmess-Kino,Hamburg,active,53.5562555,9.9302189
norderstedt@cinemotion-kino.de,22846.0,CineMotion - Spectrum Kino-Center Norderstedt,Norderstedt,active,53.7075453,9.9875685
info@kino-bargteheide.de,22941.0,Cinema Paradiso,Bargteheide,bounced,53.7280474,10.2565507
filmhaus-luebeck@cinestar.de,23552.0,Filmhaus Lübeck,Lübeck,active,53.8688122,10.6858426
info@kinokoki.de,23552.0,Kommunales Kino Lübeck,Lübeck,active,53.8688122,10.6858426
luebeckstadthalle@cinestar.de,23552.0,CineStar - Filmpalast Stadthalle,Lübeck,active,53.8604379,10.6877003
badschwartau@moviestar-net.de,23611.0,Movie Star,Bad Schwartau,active,53.8604379,10.6877003
info@beach-club-kino.de,23683.0,1,Scharbeutz,bounced,53.9185359,10.691838
kinokrempertor@online.de,23730.0,Kino-Center Kremper Tor,Neustadt in Holstein,active,54.0190756,10.6086439
moniwestphal@gmx.net,23743.0,Kino Grömitz,Grömitz,active,54.1509635,10.9565421
info@lichtblick-filmtheater.de,23758.0,Lichtblick Filmtheater,Oldenburg in Holstein,active,54.2871162,10.8785382
info@burgfilmtheater.de,23769.0,Burg Filmtheater,Fehmarn,active,54.4380376,11.1949345
info@cp5.de,23795.0,CinePlanet 5,Bad Segeberg,active,53.9340802,10.3098222
buero@oho-kino.de,23843.0,OHO-Kinocenter,Bad Oldesloe,active,53.8081816,10.366618
info@oho-kino.de,23843.0,Open Air auf dem Marktplatz,Bad Oldesloe,active,53.8096794,10.3707936
kino@reinfelder-lichtspiele.de,23858.0,Reinfelder-Lichtspiele,Reinfeld in Holstein,bounced,53.8096794,10.3707936
info@eulenspiegel-kino.de,23879.0,Eulenspiegel Kino,Mölln,active,53.63191,10.7072897
filmclub@burgtheater-ratzeburg.de,23909.0,Norddeutsches Freiluftkino 4K,Ratzeburg,active,53.6970321,10.768273
info@btrz.de,23909.0,Burgtheater Ratzeburg,Ratzeburg,active,53.6970321,10.768273
schoenberg@orpheum-lichtspiele.net,23923.0,Orpheum Lichtspiele 70 mm,Schönberg,active,53.6967824,10.771788
info@filmbuero-mv.de,23966.0,Forumkino Wismar,Wismar,bounced,53.8901993,11.4488483
wismar@cinestar.de,23970.0,CineStar - Der Filmpalast,Wismar,active,53.8901993,11.4488483
gf@diepumpe.de,24103.0,Koki - Kommunales Kino in der Pumpe,Kiel,active,54.3244886,10.135648
kino@studio-filmtheater.de,24103.0,Studio Filmtheater am Dreiecksplatz,Kiel,active,54.3244886,10.135648
kontakt@metrokino-kiel.de,24105.0,metro - Kino im Schloßhof,Kiel,active,54.3403673,10.1315225
info@hansa48.de,24118.0,Hansafilmpalast,Kiel,active,54.3403673,10.1315225
kino@traumgmbh.de,24118.0,Traum-Kino,Kiel,active,54.3352203,10.1250822
capitol@capitol-cine-center.de,24211.0,Capitol Filmtheater,Preetz,bounced,54.3349501,10.1143361
thies.harm@yahoo.de,24211.0,Capitol Filmtheater,Preetz,active,54.2341712,10.2791955
info@astrakino.de,24306.0,Astra-Filmtheater,Plön,active,54.1580579,10.4115684
greenscreen-festival@web.de,24340.0,Ostsee-Info-Center,Eckernförde,bounced,54.4731148,9.8387765
mail@dashauseck.de,24340.0,Kommunales Kino im Haus,Eckernförde,bounced,54.4731148,9.8387765
info@kdw-neumuenster.de,24534.0,KDW,Neumünster,deleted (unsubscribed),54.0702099,9.983292
neumuenster@cinestar.de,24534.0,CineStar Neumünster,Neumünster,active,54.0702099,9.983292
info@savoy-bordesholm.de,24582.0,Savoy,Bordesholm,active,54.1737356,10.0266984
eventsbyfrank@gmx.de,24628.0,Kino im Ferienpark Heiligenhafen,Hartenholm,active,54.1737356,10.0266984
info@kinocenter-rendsburg.de,24768.0,Kinocenter-Rendsburg,Rendsburg,active,54.1737356,10.0266984
info@schauburg-filmtheater.de,24768.0,Schauburg Filmtheater,Rendsburg,active,54.303339,9.6611157
info@kunstwerk-carlshuette.de,24782.0,Rendsburger Open Air Kinosommer,Büdelsdorf,active,54.3039888,9.661624
schleswig@cinemotion-kino.de,24837.0,CineMotion - Capitol Filmpalast Schleswig,Schleswig,active,54.3039888,9.661624
flensburg@uci-kinowelt.de,24937.0,UCI Flensburg,Flensburg,active,54.5161538,9.5631747
info@51stufen.de,24937.0,51 Stufen,Flensburg,active,54.7853164,9.4344953
elmshorn@cineplex.de,25337.0,Cineplex Elmshorn,Elmshorn,active,53.7462969,9.693843
hanse-film@gmx.net,25355.0,Saturn,Barmstedt,active,53.7462969,9.693843
info@burgkino.de,25436.0,Burg Theater,Uetersen,active,53.68319,9.6554197
info@nordkino.de,25451.0,Beluga,Quickborn,active,53.7213769,9.8991528
itzehoe@cinemotion-kino.de,25524.0,CineMotion - Itzehoe,Itzehoe,active,53.7213769,9.8991528
info@metropol-theater.de,25541.0,Metropol-Theater,Brunsbüttel,active,53.8970217,9.1378035
kinomeldorf@t-online.de,25704.0,Deutsches Haus-Lichtspiele,Meldorf,active,54.088688,9.0685535
info@kino-heide.de,25746.0,LichtBlick Heide,Heide in Holstein,active,54.1929931,9.0878251
postmaster@kino-center-husum.de,25813.0,Kinocenter Husum,Husum,bounced,54.4814627,9.0438304
stephan.hartung@kino-center-husum.de,25813.0,Kino-Center-Husum,Husum,active,54.4814627,9.0438304
info@kino-nordlicht.de,25826.0,Kino Nordlicht,Sankt Peter-Ording,active,54.3143318,8.605456
pelllicht@hotmail.de,25849.0,Pellwormer Lichtspiele in De Pellwormer Danzsool,Pellworm,active,54.502177,8.6528206
deli-kino-leck@versanet.de,25917.0,Deli-Verzehrkino,Leck,bounced,54.771547,8.9719343
kinoamsandwall@aol.com,25938.0,Filmtheater am Sandwall,Wyk auf Föhr,active,54.6874673,8.5668311
info@kino-amrum.de,25946.0,Saal  1...,Norddorf auf Amrum,active,54.6796735,8.3322115
info@kinowelt-sylt.de,25980.0,Kinowelt Sylt,Sylt,active,54.9087281,8.301694
westerland@kinowelt-online.de,25980.0,Kinowelt Sylt,Sylt,bounced,54.9087281,8.301694
kino@casablanca-kino.de,26121.0,Casablanca,Oldenburg in Oldenburg,active,53.1473205,8.2095725
vorstand@wilhelm13.de,26121.0,Kino in Wilhelm 13,Oldenburg in Oldenburg,active,53.1426535,8.1816963
h.schroeder@kulturetage.de,26122.0,Kulturetage,Oldenburg in Oldenburg,active,53.1426535,8.1816963
info@cine-k.de,26122.0,Cine k...,Oldenburg in Oldenburg,active,53.1426535,8.1816963
kontakt@mobiles-kino-niedersachsen.de,26122.0,Mobiles Kino Niedersachsen,Oldenburg in Oldenburg,active,53.1428063,8.2172714
info@gegenlicht.net,26129.0,Gegenlicht,Oldenburg in Oldenburg,active,53.1422285,8.2153877
info@zeli-zetel.de,26340.0,Zeli-Service-Kino,Zetel,active,53.419392,7.9709507
wilhelmshaven@uci-kinowelt.de,26382.0,UCI Wilhelmshaven,Wilhelmshaven,active,53.5192952,8.1096779
erikadoering@online.de,26441.0,Filmservice-Center Jever,Jever,active,53.5699265,7.8881173
info@windlicht-langeoog.de,26465.0,Windlicht,Langeoog,active,53.7507972,7.4795083
hotel-hanken@t-online.de,26486.0,Kur-Theater,Wangerooge,bounced,53.7491062,7.1924803
info@kino-norden.de,26506.0,Apollo-Theater,Norden,active,53.7491062,7.1924803
kontakt@kino-norden.de,26506.0,Apollo,Norden,active,53.5971173,7.2079679
kurtheater@norderney.de,26548.0,Kino im Kurtheater,Norderney,active,53.7057493,7.1438954
info@kino-aurich.de,26603.0,Carolinenhof-Kino,Aurich,active,53.4666667,7.4796419
emden@cinestar.de,26721.0,CineStar - Der Filmpalast,Emden,active,53.3681401,7.1957355
s.santjer@vhs-emden.de,26721.0,Forum an der Hahn'schen Insel,Emden,active,53.3815499,7.1661576
kontakt@kino-leer.de,26789.0,Kino Center Leer,Leer in Ostfriesland,active,53.3815499,7.1661576
kontakt@kino-papenburg.de,26871.0,Ems-Center Kino,Papenburg,active,53.0834465,7.3867534
centraltheaterbrake@ctbrake.de,26919.0,Centraltheater Brake,Brake (Unterweser),active,53.3280708,8.4818991
cinema-twistringen@online.de,27239.0,1,Twistringen,bounced,52.7895351,8.4114187
c.muescher@cine-city.de,27283.0,Cine City,Verden an der Aller,active,52.7895351,8.4114187
info@filmhofhoya.de,27318.0,Filmhof,Hoya,active,52.8100644,9.1428077
info@kir-row.de,27356.0,Stadtkino,Rotenburg an der Wümme,active,53.1103381,9.4146242
kinozeven@t-online.de,27404.0,Central Theater,Zeven,active,53.1103381,9.4146242
info@kino-cuxhaven.de,27472.0,Bali-Kino-Center,Cuxhaven,active,53.8614603,8.697289
tourismusdirektor@helgoland.de,27498.0,Hochseekino Helgoland,Helgoland,active,54.1853198,7.8847584
bremerhaven@cinemotion-kino.de,27568.0,CineMotion - Bremerhaven,Bremerhaven,bounced,53.5403947,8.5794103
info@passagekino.com,27568.0,Passage Kino,Bremerhaven,active,53.54217,8.5754597
info@kinoohz.de,27711.0,Central-Theater,Osterholz-Scharmbeck,active,53.2307756,8.7818799
h.ewald@gmx.net,27721.0,Ritterhuder-Lichtspiele,Ritterhude,active,53.1774711,8.7462813
maxxdelmenhorst@t-online.de,27753.0,Maxx,Delmenhorst,active,53.053252,8.6275013
kino@liliservicekino.de,27793.0,Lili-Servicekino,Wildeshausen,active,52.8976455,8.4348101
info@bremerfilmkunsttheater.de,28195.0,Atlantis Filmtheater,Bremen,active,53.0747471,8.8025268
info@city46.de,28195.0,City 46,Bremen,bounced,53.0747471,8.8025268
thomas@cinema-ostertor.de,28203.0,Cinema Ostertor,Bremen,active,53.0728062,8.8202714
burmester@cinespace.de,28237.0,Cinespace Waterfront,Bremen,active,53.1123925,8.7438511
info@cinespace.de,28237.0,Cineplex/Cinespace Waterfront,Bremen,active,53.1123925,8.7438511
info@cinespace.de,28237.0,Cineplex/Cinespace Waterfront,Bremen,active,53.1123925,8.7438511
bremen@cinestar.de,28307.0,CineStar Kristall-Palast,Bremen,active,53.0520082,8.9581268
onlineredaktion@weser-kurier.de,28757.0,Weserkurier Open Air,Bremen,active,53.0520082,8.9581268
info@film-palast-schwanewede.de,28790.0,Filmpalast Kinocenter,Schwanewede,active,53.0766748,8.8015335
info@koki-achim.de,28832.0,Kommunales Kino Achim,Achim bei Bremen,active,53.2234131,8.5940092
info@hansakinosyke.de,28857.0,Hansa Kino Syke,Syke,active,52.9136191,8.8240262
info@kammerlichtspiele-celle.com,29221.0,Kammer-Lichtspiele,Celle,active,52.6252343,10.0810527
kontakt@kino-achteinhalb.de,29221.0,achteinhalb,Celle,active,52.6157437,10.0789311
info@filmpalast-salzwedel.de,29410.0,Open Air im Burggarten,Salzwedel,active,52.8488026,11.1472112
info@wendland-kino.de,29439.0,Saal  1...,Lüchow im Wendland,active,52.9640392,11.1491172
kultur@platenlaase.de,29479.0,Café Grenzbereiche,Jameln,active,53.0333824,11.0778659
info@central-theater-uelzen.de,29525.0,Central-Theater Uelzen,Uelzen,active,53.0333824,11.0778659
central-theater@online.de,29574.0,Open Air Kino,Ebstorf,bounced,53.0291252,10.4122837
info@dersakino-soltau.de,29614.0,Dersa Kino Soltau,Soltau,bounced,52.4327863,8.6144914
kino@deutscheshausmunster.de,29633.0,Kino Deutsches Haus,Munster,active,52.9852524,10.0871671
info@lichtspiel-schneverdingen.de,29640.0,Lichtspiel,Schneverdingen,active,53.1151246,9.7891438
capitol-walsrode@t-online.de,29664.0,Capitol-Theater,Walsrode,active,52.8608227,9.5873312
info@astor-grandcinema.de,30159.0,Astor Grand Cinema,Hannover,active,52.3804165,9.7305246
info@hochhaus-lichtspiele.de,30159.0,Hochhaus-Lichtspiele,Hannover,active,52.3804165,9.7305246
koki@hannover-stadt.de,30159.0,Open Air im Theaterhof,Hannover,active,52.3769452,9.7291608
info@filmkunstkinos-hannover.de,30161.0,Kino am Raschplatz,Hannover,active,52.3787531,9.7410677
torbenscheller@aol.com,30161.0,"Filmkunstkinos Hanover (Kino am Raschplatz, Hochhaus-Lichtspiele, Apollo Studio)",Neue Schauburg Northeim (2Säle),active,52.378753,9.741057
torbenscheller@aol.com,30161.0,"Filmkunstkinos Hanover (Kino am Raschplatz, Hochhaus-Lichtspiele, Apollo Studio)",Neue Schauburg Northeim (2Säle),active,52.378753,9.741057
torbenscheller@aol.com,30161.0,"Filmkunstkinos Hanover (Kino am Raschplatz, Hochhaus-Lichtspiele, Apollo Studio)",Neue Schauburg Northeim (2Säle),active,51.7064896,9.9980119
info@kino-im-sprengel.de,30167.0,Kino im Sprengel,Hannover,active,52.3874751,9.7181453
info@music-and-sports-hall.de,30169.0,Sommerkino auf der Gilde Parkbühne,Hannover,active,52.3874751,9.7181453
info@lodderbast.de,30175.0,Lodderbast,Hannover,active,52.3563243,9.7280399
info@apollokino.de,30451.0,Apollo Studio,Hannover,active,52.3739754,9.7044612
boese@pflegeheime-wilkening.de,30519.0,Puschenkino PUKI,Hannover,active,52.351877,9.7775278
garbsen@cinestar.de,30823.0,CineStar - Der Filmpalast,Garbsen,active,52.4259895,9.5908962
langenhagen@cinemotion-kino.de,30853.0,CineMotion - Langenhagen,Langenhagen,active,52.4408329,9.733759
info@kulturkreisgronau.de,31028.0,Gronauer Lichtspiele,Gronau an der Leine,active,52.0859609,9.7766303
alfeld@kinowelt-online.de,31061.0,Kinowelt Alfeld,Alfeld an der Leine,active,51.988078,9.8222007
hoki@asta-hildesheim.de,31141.0,Hochschulkino im Audimax,Hildesheim,active,52.13409,9.9738397
info@thega-filmpalast.de,31141.0,Thega-Filmpalast,Hildesheim,active,52.1526871,9.9559453
kino-peine@gmx.de,31224.0,Astoria-Theater,Peine,active,52.3243157,10.2267825
info@das-andere-kino.de,31275.0,Das Andere Kino,Lehrte,active,52.374037,9.9749097
neueschauburg@yahoo.de,31303.0,Neue Schauburg,Burgdorf,active,52.4486111,10.0026975
info@vhs-hannover-land.de,31535.0,Cinema im Leinepark,Neustadt am Rübenberge,active,52.505766,9.4645796
kurt@badnenndorf.de,31542.0,Phönix Kurlichtspiele,Bad Nenndorf,active,52.3353864,9.3732838
info@filmpalast-sulingen.de,31582.0,Filmpalast Nienburg,Nienburg an der Weser,active,52.6432455,9.2032295
info@kinoschaumburg.de,31675.0,Residenz-Kino-Center,Bückeburg,active,52.2607012,9.0467326
info@kino-rinteln.de,31737.0,Kinocenter Rinteln,Rinteln,active,52.2607012,9.0467326
hameln@cinemotion-kino.de,31785.0,CineMotion - Hameln,Hameln,active,52.101588,9.3708812
info@sumpfblume.de,31785.0,Sumpfblume,Hameln,active,52.101588,9.3708812
info@kronen-lichtspiele.de,31812.0,Kronenlichtspiele,Bad Pyrmont,active,51.9854095,9.2538772
info@capitol-herford.de,32052.0,Capitol,Herford,bounced,52.1149214,8.666524
info@kino-bad-salzuflen.de,32105.0,Filmbühne Bad Salzuflen,Bad Salzuflen,active,52.0861111,8.7415864
info@kino-spenge.de,32139.0,Zentral-Theater,Spenge,active,52.1414535,8.4858548
info@bueli.de,32257.0,Bünder Lichtspiele,Bünde,active,52.1414535,8.4858548
info@universum.tv,32257.0,Universum,Bünde,active,52.1960335,8.5783361
jugendarbeit-kino@teleos-web.de,32278.0,Lichtblick,Kirchlengern,bounced,52.2000862,8.6376195
info@else-lichtspiele.de,32289.0,Else-Lichtspiele,Rödinghausen,active,52.2000862,8.6376195
meiers@lichtburg.com,32339.0,Elite,Espelkamp,active,52.37633,8.6263297
info@dersakino-rahden.de,32369.0,Dersa Kino Rahden,Rahden,active,52.4327863,8.6144914
badoeynhausen@uci-kinowelt.de,32547.0,UCI Bad Oeynhausen,Bad Oeynhausen,active,52.2140725,8.813603
news@hansa-kino.de,32657.0,Hansa-Kino,Lemgo,active,52.02972,8.8980797
info@detmold-kino.de,32756.0,Kaiserhof-Lichtspiele,Detmold,active,51.9398936,8.8698433
info@filmwelt-lippe.de,32791.0,Filmwelt Lippe,Lage in Lippe,active,51.9398936,8.8698433
kino@kinodriburg.de,33014.0,Kino Bad Driburg,Bad Driburg,active,51.7344288,9.0218152
kino@kinobrakel.de,33034.0,Kino Brakel,Brakel,bounced,51.724602,9.1900463
kd.klepsch@cineplex.de,33098.0,Cineplex Paderborn & Münser,,active,51.7162496,8.7457347
paderborn@uci-kinowelt.de,33098.0,UCI Paderborn,Paderborn,active,51.7162496,8.7457347
programmkino.lichtblick@googlemail.com,33098.0,Programmkino Lichtblick,Paderborn,active,51.708024,8.7694536
manuela.fischer@bad-lippspringe.de,33175.0,Odins Filmtheater,Bad Lippspringe,active,51.708024,8.7694536
bambikino@t-online.de,33330.0,FT Bambi/Löwenherz,Gütersloh,active,51.9018448,8.3744627
bambikino@t-online.de,33330.0,FT Bambi/Löwenherz,Gütersloh,active,51.9018448,8.3744627
guetersloh@cinestar.de,33330.0,CineStar - Der Filmpalast,Gütersloh,active,51.9045988,8.3752004
info@offkino.de,33520.0,Offkino Bielefeld,Bielefeld,deleted (unsubscribed),52.0212009,8.5370627
schwartz@lichtwerkkino.de,33602.0,Kamera Filmkunsttheater,Bielefeld,bounced,52.0212009,8.5370627
post@lichtwerkkino.de,33607.0,Lichtwerk im Ravensberger Park,Bielefeld,active,52.0273184,8.5314544
becker@brackwede.de,33647.0,Melodie Filmtheater,Bielefeld,bounced,51.9848762,8.4986876
info@rhythmusfilm.de,33758.0,Rhythmus-Filmtheater,Schloß Holte-Stukenbrock,active,51.9027862,8.6321452
info@balikinos.de,34117.0,Gloria am Ständeplatz,Kassel,active,51.9027862,8.6321452
kassel@cineplex.de,34117.0,Cineplex,Kassel,active,51.3142013,9.4853473
kassel@filmpalast-kino.de,34117.0,Filmpalast Kassel,Kassel,active,51.3136653,9.4883089
melek.guerkan@cineplex-capitol.de,34117.0,Cineplexe,Kassel & Baunatal,active,51.2847992,9.4104179
hofmann@filmladen.de,34119.0,Filmladen,Kassel,active,51.2847992,9.4104179
baunatal@cineplex.de,34225.0,Cineplex Baunatal,Baunatal,active,51.3141878,9.4702631
info@schiller-lichtspiele.de,34346.0,Schiller Lichtspiele,Hann. Münden,active,51.4169271,9.6496801
ute.schlinker@cineplex.de,34414.0,Cineplex,Warburg,active,51.4169271,9.6496801
warburg@cineplex.de,34414.0,Cineplex,Warburg,active,51.4980556,9.1476975
mariadohmann@aol.com,34434.0,Central Kino,Borgentreich,active,51.5678569,9.237884
kai9950@aol.com,34466.0,Cinema,Wolfhagen,active,51.32579,9.1658697
buero@kino-willingen.de,34508.0,Kino Studio Willingen,Willingen im Upland,active,51.2901649,8.6089004
info@cine-royal.de,34560.0,Cine Royal,Fritzlar,active,51.12253,9.2736097
kino.unger@t-online.de,34613.0,Burg-Theater,Schwalmstadt,active,50.9120144,9.1873346
info@kinosommer-hessen.de,35037.0,Kinosommer Hessen,Marburg,active,50.8093843,8.7631214
marion.closmann@cineplex.de,35037.0,Cineplex Marburg,Marburg,active,50.8090005,8.7709059
info@cafetrauma.de,35039.0,Kino im Café Trauma,Marburg,active,50.8202473,8.7674234
info@kino-traumstern.de,35321.0,FreiLichtKino,Laubach,active,50.4620803,8.6766599
011@kinopolis.de,35390.0,Kinocenter Gießen,Gießen,active,50.4620803,8.6766599
jokus@giessen.de,35390.0,Kommunales Kino im Jokus,Gießen,active,50.5875127,8.6794802
kinopolis@kinopolis.de,35390.0,Saal  1...,Gießen,active,50.5875122,8.6717286
jromisch@giessen.de,35394.0,Jokus Sommerspektakel,Gießen,bounced,50.5875298,8.6794009
info@kino-butzbach.de,35510.0,FT Capitol/Bambi,Butzbach,active,50.43339,8.6678797
info@kino-butzbach.de,35510.0,FT Capitol/Bambi,Butzbach,active,50.43339,8.6678797
openair@kino-butzbach.de,35510.0,Open Air Kino Landgrafenschloss,Butzbach,active,50.43339,8.6678797
016@kinopolis.de,35576.0,Rex Kinos,Wetzlar,active,50.557526,8.4944717
buero@gloria-kinos.de,35683.0,Gloria Kinos Dillenburg,Dillenburg,deleted (unsubscribed),50.740816,8.2866144
m.j.wunderer@web.de,35781.0,Delphi Filmtheater,Weilburg,active,50.4864132,8.2557565
info@kino-weilmuenster.de,35789.0,Pastori - Das historische Lichtspielgasthaus,Weilmünster,active,50.4333223,8.3675698
filmbuehnefulda@arcor.de,36037.0,Museumscafé,Fulda,active,50.551167,9.6755117
fulda@cinestar.de,36037.0,CineStar - Der Filmpalast,Fulda,active,50.551167,9.6755117
info@biber-kino.de,36179.0,Biber Kino Center - Das Cinedrom,Bebra,active,50.966666,9.794274
info@kinocenter-alsfeld.de,36304.0,Kinocenter Alsfeld,Alsfeld,active,50.7504053,9.2655599
post@lichtspielhaus-lauterbach.de,36341.0,Lichtspielhaus,Lauterbach in Hessen,active,50.7504053,9.2655599
kontakt@kukikino.de,36381.0,Kuki-Zelt,Schlüchtern,bounced,50.3467724,9.5259025
info@pab-kino.de,36433.0,pab Kinocenter,Bad Salzungen,active,50.8093596,10.2180261
info@lumiere.de,37073.0,Open Air Kino im Freibad,Göttingen,active,51.5313663,9.9063596
r.kleinecke@movietown.eu,37115.0,Movietown Eichsfeld,Duderstadt,active,51.510779,10.2490837
info@neue-schauburg.de,37154.0,Neue Schauburg,Northeim,active,51.510779,10.2490837
info@capitolkino.de,37213.0,Capitol-Kino,Witzenhausen,active,51.7064896,9.9980119
056522356-001@t-online.de,37242.0,Atelier...,Bad Sooden-Allendorf,active,51.2701037,9.9632118
club-d@web.de,37351.0,Club-D,Dingelstädt,active,51.3218471,10.3137067
info@kinowelt-online.de,37412.0,Central-Lichtspiele,Herzberg am Harz,active,51.6557595,10.3364902
info@kino-holzminden.de,37603.0,Neues Roxy,Holzminden,active,51.8259048,9.4464667
info@c1-cinema.de,38100.0,Astor Filmtheater,Braunschweig,bounced,51.8259048,9.4464667
kufahl@universum-filmtheater.de,38100.0,Universum Filmtheater,Braunschweig,active,52.2669263,10.5151762
sff@tu-bs.de,38106.0,Studio für Filmkunst,Braunschweig,active,52.2734641,10.527101
info@schunterkino.de,38108.0,SchunterKino,Braunschweig,active,52.2734641,10.527101
info@kammerlichtspiele.com,38154.0,Kammerlichtspiele,Königslutter am Elm,active,52.2528239,10.8098144
chef@kultiplex.de,38226.0,Kultiplex,Salzgitter,active,52.1532081,10.3314891
salzgitter@filmpassage.de,38226.0,Filmpassage Salzgitter,Salzgitter,active,52.1532081,10.3314891
cinemasalzgitter@gmx.de,38259.0,Cinema,Salzgitter,active,52.0496761,10.3750684
kino@filmpalast-wf.de,38300.0,Filmpalast,Wolfenbüttel,active,52.0496761,10.3750684
